大黄、炒牵牛子、槟榔、人参、朱砂	消食导滞，祛痰通便
地黄、北沙参、麦冬、酒女贞子、五味子、黄芪、当归、制何首乌、白芍、阿胶珠、泽兰、牡蛎、橘红、丹参、川楝子、黄精（蒸）	滋补肝肾，活血化瘀
黄芪、白花蛇舌草、茵陈、金钱草、党参、蒲公英、制何首乌、牡丹皮、丹参、茯苓、白芍、白术、川楝子	补气健脾，活血化瘀，清热解毒
柴胡（醋炙）、枳壳、白芍、橘叶、丹参、黄芪、党参、桂枝、茯苓、刺五加、瓜蒌、法半夏、黄连、决明子、山楂、五味子	益气化湿，疏肝解郁
石膏（煅）、红粉	提脓拔毒，去腐生肌
马钱子粉、麻黄、乳香（制）、没药（制）	活血散瘀，消肿止痛
大黄	泻下导滞
石灰华、红花、牛黄、红景天、榜嘎、甘草（去皮）、高山辣根菜、檀香、洪连	清热，解毒，止咳，安神
羌活、防风、苍术、细辛、川芎、白芷、黄芩、甘草、地黄	疏风解表，散寒除湿
三七、郁金、蒺藜、姜黄、酒大黄、黄芩、蜈蚣、山药、五味子	化瘀通络，疏肝健脾
苍术、黄柏、紫苏叶、苦杏仁、薄荷、乳香、没药、轻粉、红粉	解毒消肿，燥湿止痒
醋香附、木香、高良姜、陈皮、郁金、醋莪术、醋延胡索、槟榔、甘草、五灵脂（醋炒）	理气，活血，止痛
川木香、木香、沉香、降香、小茴香（盐水炙）、八角茴香、丁香、乳香（炒）、广藿香	温中散寒，行气止痛
橘叶、丹参、皂角刺、炒王不留行、川楝子、地龙	疏肝理气，活血化瘀，消散乳块
橘叶、丹参、皂角刺、王不留行、川楝子、地龙	疏肝理气，活血化瘀，消散乳块
艾叶、淫羊藿、柴胡、川楝子、天冬、土贝母	疏肝散结，调理冲任
柴胡、当归、醋香附、丹参、炒白芍、王不留行、赤芍、炒白术、茯芩、青皮、陈皮、薄荷	疏肝养血，理气解郁
牡蛎、乳香、瓜蒌、海藻、黄芪、没药、天冬、夏枯草、三棱、玄参、白术、浙贝母、莪术、丹参、炒鸡内金	舒肝活血，祛痰软坚
柴胡、当归、黄芪、郁金、光慈菇、漏芦、昆布、海藻、淫羊藿、鹿衔草	舒肝活血，祛痰软坚
柴胡、醋香附、青皮、赤芍、丹参、炒王不留行、鸡血藤、牡蛎、海藻、昆布、淫羊藿、菟丝子	舒肝活血，祛痰软坚
夏枯草、川芎（酒炙）、僵蚕（麸炒）、鳖甲（醋制）、柴胡（醋制）、赤芍（酒炒）、玫瑰花、莪术（醋制）、当归（酒炙）、延胡索（醋制）、牡蛎	行气活血，软坚散结
鹿角、蒲公英、昆布、天花粉、鸡血藤、三七、赤芍、海藻、漏芦、木香、玄参、牡丹皮、夏枯草、连翘、红花	软坚散结，活血消痈，清热解毒
紫花地丁、半边莲、蒲公英、板蓝根	清热解毒
天冬、麦冬	养阴润肺
西洋参、白术、茯苓、熟地黄、当归、白芍、川芎、黄芪、阿胶、醋五味子、鹿茸（去毛）、肉桂、艾叶（炒炭）、杜仲（炒炭）、续断、佛手、陈皮、姜厚朴、柴胡、醋香附、醋延胡索、牡丹皮、琥珀、醋龟甲、地黄、麦冬、黄芩	补气养血，舒郁调经
松石、珍珠、珊瑚、朱砂、诃子肉、铁屑（诃子制）、余甘子、五灵脂膏、檀香、降香、木香马兜铃、鸭嘴花、牛黄、木香、绿绒蒿、船形乌头、肉豆蔻、丁香、伞梗虎耳草、毛诃子（去核）、天竺黄、西红花、木棉花、麝香0、石灰华	清热解毒，疏肝利胆，化瘀
珊瑚、珍珠、青金石、珍珠母、诃子、木香、红花、丁香、沉香、朱砂、龙骨、炉甘石、脑石、磁石、禹粮土、芝麻、葫芦、紫菀花、獐牙菜、藏菖蒲、榜那、打箭菊、甘草、西红花、人工麝香	开窍，通络，止痛，安神开窍
苍术（炒）、黄柏（炒）	燥湿清热
川贝母、知母、石膏、炒栀子、黄芩、蜜桑白皮、茯苓、炒瓜蒌子、陈皮、麸炒枳实、炙甘草、五味子（蒸）	清肺润燥，化痰止咳
知母、玄参、罂粟壳、麦冬、款冬花、紫菀、苦杏仁、百合、浙贝母	清肺化痰，止嗽定喘
酒女贞子、墨旱莲	补益肝肾，滋阴止血
陈皮、半夏（制）、茯苓、甘草	燥湿化痰，理气和胃
白芷、大皂角、桂枝、木香、莪术、五味藤、豆豉姜、千斤拔、朱砂根、羊耳菊、枫荷桂、虎杖、穿壁风、香樟、徐长卿、山豆根、细辛、薄荷脑、樟脑	祛风除湿，活血止痛
刺五加浸膏、当归、川芎、桃仁、干姜、甘草	益气养血，活血祛瘀
五味子	益气生津，补肾宁心
沙棘膏、木香、白葡萄干、甘草、栀子	清热祛痰，止咳定喘
石榴、红花、豆蔻、肉桂、荜茇	开郁消食，暖胃
麝香、诃子（去核）、黑草乌、木香、藏菖蒲	消炎，止痛，祛风
枸杞子、菟丝子（炒）、覆盆子、五味子（蒸）、盐车前子	补肾益精
柴胡、灵芝、丹参、五味子	疏肝健脾活血
水牛角浓缩粉、连翘、青黛、黄连、炒牛蒡子、玄参、地黄、桔梗、芒硝、赤芍、甘草	清热解毒，凉血消肿
茯苓、泽泻、猪苓、肉桂、炒白术	温阳化气，利湿行水
泽泻、茯苓、猪苓、肉桂、麸炒白术	温阳化气，利湿行水
当归、红花、防风、制天南星、白芷	活血散瘀，消肿止痛
黄连、红芪、地黄、姜黄、黄芩	燥湿化痰，益气养阴
益母草、当归、人参、黄芪、何首乌、桃仁、蒲黄、熟地黄、醋香附、昆布、白术、黑木耳	补气养血，祛瘀生新
人参、白术（麸炒）、茯苓、山药、陈皮、木香、砂仁、炙黄芪、当归、酸枣仁（炒）、远志（制）	健脾益气，和胃止泻
人参、土白术、茯苓、炙甘草、当归、熟地黄、白芍（麸炒）、炙黄芪、陈皮、制远志、肉桂、五味子（酒蒸）	温补气血
人参、酒蕲蛇、广藿香、檀香、母丁香、玄参、细辛、醋香附、地龙、熟地黄、三七、乳香（醋制）、青皮、豆蔻、防风、制何首乌、川芎、片姜黄、黄芪、甘草、黄连、茯苓、赤芍、大黄、桑寄生、葛根、麻黄、骨碎补（炒）、全蝎、豹骨（制）、炒僵蚕、附子（制）、琥珀、醋龟甲、粉萆薢、白术（麸炒）、沉香、天麻、肉桂、白芷、没药（醋制）、当归、草豆蔻、威灵仙、乌药、羌活、橘红、六神曲（麸炒）、朱砂、血竭、人工麝香、冰片、牛黄、天竺黄、胆南星、水牛角浓缩粉	益气养血，祛风化痰，活血通络
红参、制何首乌	益气养血
辣椒、肉桂、生姜、肉桂油	温通经脉，散寒镇痛
肉桂、延胡索、牡蛎、小茴香、砂仁、高良姜、白芍、炙甘草	温中散寒，健胃止痛
伤湿止痛流浸膏、水杨酸甲酯、薄荷脑、冰片、樟脑、芸香浸膏、颠茄流浸膏	祛风湿，活血止痛
黄芩、连翘、生天南星、白芷、冰片、薄荷脑、水杨酸甲酯	清热解毒，消肿止痛
制乳香、制没药、甘松、醋延胡索、细辛、醋香附、山柰、白芷	散瘀止痛
红花、土鳖虫、朱砂、马钱子粉、炙没药、三七、炙海星、炙鸡骨、冰片、煅自然铜、炙乳香、甜瓜子	活血化瘀，消肿止痛，舒筋壮骨
地龙、制马钱子、红花、乳香（醋炒）、防己、没药（醋炒）、香加皮、烫骨碎补	舒筋通络，活血祛瘀，消肿止痛
制马钱子、制川乌、制草乌、木瓜、当归、川牛膝、、续断、木香、全蝎、珍珠透骨草	舒筋活络，祛风除湿，温经止痛
麸炒白术、肉苁蓉、当归、桑椹、枳实、芦荟	健脾益肾，润肠通便
焦山楂、六神曲（炒）、半夏（制）、茯苓、陈皮、连翘、炒莱菔子、炒麦芽	消食，导滞，和胃
焦山楂、六神曲（炒）、姜半夏、茯苓、陈皮、连翘、炒麦芽、炒莱菔子	消食，导滞，和胃
莪术油、冰片	行气破瘀，生肌止痛
三七、丹参、川芎、山楂、制何首乌、何首乌	滋补肝肾，活血化瘀
钩藤、菊花、蒺藜、厚朴、木香、苍术、天花粉、广藿香、葛根、化橘红、白芷、薏苡仁、稻芽、薄荷、茯苓、广东神曲	解表，祛湿，和中
熟地黄、醋艾炭、荆芥穗、平贝母、槲寄生、菟丝子（酒炙）、黄芪、炒白术、麸炒枳壳、砂仁、黄芩、姜厚朴、甘草、川芎、白芍、羌活、当归	益气养血，补肾安胎
六神曲（炒）、巴豆霜、天南星（制）、朱砂	消食导滞，化痰镇惊
山楂、竹心、钩藤、白芍、甜叶菊、鸡内金	健脾消食，清心安神
黄芪、炒白术、陈皮、麦冬、黄芩、炒山楂、炒莱菔子	健脾益胃，理气消食
盐黄柏、盐知母、熟地黄、当归、酒白芍、牛膝、豹骨（制）、醋龟甲、陈皮（盐炙）、干姜、锁阳、羊肉	补肝肾，强筋骨
玄参、麦冬、蝉蜕、诃子、桔梗、板蓝根、胖大海、地黄、西青果、甘草、薄荷素油	清利咽喉，养阴生津，解毒泻火
柴胡、党参、白芍、延胡索、白及、珍珠层粉、青黛、甘草	疏肝健脾，生肌止痛
太子参、陈皮、山药、炒麦芽、山楂	健胃消食
炒山楂、六神曲（炒）、炒麦芽、焦槟榔、醋鸡内金、苍术（制）、草豆蔻、陈皮、生姜、柴胡、白芍、川楝子、醋延胡索、甘草浸膏	舒肝和胃，消食导滞，理气止痛
当归、天竺黄、肉苁蓉（盐炙）、龙齿（煅）、山药、琥珀、五味子（酒蒸）、天麻、柏子仁（炒）、丹参、益智仁（盐炒）、人参、远志（甘草水炙）、菊花、九节菖蒲、赭石、胆南星、酸枣仁（炒）、枸杞子	补肾健脑，养血安神
酒黄精、淫羊藿、枸杞子、鹿茸、鹿角胶、鹿角霜、红参、大枣（去核）、茯苓、麦冬、龟甲、炒酸枣仁、南五味子、制远志、熟地黄、苍耳子	滋补强壮，镇静安神
当归、天竺黄、肉苁蓉（盐制）、龙齿(煅)、山药、琥珀、五味子（酒制）、天麻、柏子仁（炒）、丹参、益智仁（盐炒）、人参、制远志、菊花、九节菖蒲、赭石、胆南星、炒酸枣仁、枸杞子	补肾健脑，养血安神
红参、鹿茸、狗鞭、肉桂、金牛草、炒牛蒡子、金樱子、杜仲炭、川牛膝、金银花、连翘、蝉蜕、山药、制远志、炒酸枣仁、砂仁、当归、龙骨（煅）、煅牡蛎、茯苓、炒白术、桂枝、甘草、豆蔻、酒白芍	健脑补肾，益气健脾，安神定志
党参、炒白术、陈皮、枳实（炒）、炒山楂、炒麦芽	健脾开胃
党参、茯苓、炒白术、甘草、黄芪、山药、炒鸡内金、醋龟甲、山麦冬、醋南五味子、龙骨、煅牡蛎、大枣、硫酸亚铁	健脾和胃，养血安神
党参、炒白术、陈皮、枳实（炒）、炒山楂、炒麦芽	健脾开胃
藏木香膏、藏木香、悬钩子茎（去皮、心）、宽筋藤（去皮）、干姜、诃子肉、余甘子、毛诃子（去核）、螃蟹甲	清热解表，止咳止痛
太子参、北沙参、茯苓、山药、炒山楂、炒麦芽、陈皮、炒白芍、炒白扁豆、麦冬、葛根（煨）	健脾益气，生津开胃
党参、黄芪、白术、茯苓、山药、薏苡仁、麦冬、制何首乌、大枣、焦山楂、麦芽（炒）、桑枝	益气健脾，消食开胃
青蒿、板蓝根、菊花、苦杏仁、桔梗、连翘、薄荷、甘草	解表清热，化痰止咳，解毒利咽
醋鸡内金、醋莪术、姜厚朴、枳实、焦山楂、醋青皮、法半夏、六神曲（焦）、焦麦芽、焦槟榔、榧子、使君子仁、胡黄连、苦楝皮、知母、青蒿、酒黄芩、薄荷、钩藤、盐车前子	健胃导滞，消积化虫
麻黄、炒苦杏仁、石膏、甘草、蜜桑白皮、瓜蒌皮、黄芩、板蓝根、橘红、法半夏、炒紫苏子、葶苈子、浙贝母、紫苏叶、细辛、薄荷、蜜枇杷叶、白前、前胡、石菖蒲、天花粉、煅青礞石	清肺，解表，化痰，止嗽
醋延胡索、白芷	理气，活血，止痛
当归、川芎、红花、丁香、生姜、樟脑、松节油	活血化瘀，消肿止痛
麻黄、罂粟壳、甘草、苦杏仁、莱菔子、桔梗、石膏	止嗽，定喘，祛痰
金银花、黄芩、荆芥、炒栀子、连翘、玄参、僵蚕（姜制）、地黄、射干、桔梗、薄荷、蝉蜕、防风、甘草	疏风清热，解毒利咽
白芷、苍术、石菖蒲、细辛、荜茇、鹅不食草、猪牙皂、雄黄粉、丁香、硝石、枯矾、冰片	解毒辟秽，理气止泻
天麻	平肝，息风，止痉
杜仲	补肝肾，强筋骨，降血压
全鹿干、锁阳（酒炒）、党参、地黄、牛膝、熟地黄、楮实子、菟丝子、山药、盐补骨脂、枸杞子（盐水炒）、川芎（酒炒）、肉苁蓉、酒当归、巴戟天、炙甘草、天冬、五味子（蒸）、麦冬、炒白术、覆盆子、盐杜仲、芡实、花椒、茯苓、陈皮、炙黄芪、小茴香（酒炒）、盐续断、青盐、胡芦巴（酒炒）、沉香	补肾填精，健脾益气
檀香、石膏、红花、甘草、丁香、北沙参、拳参、白葡萄干	清热润肺，止咳化痰
沉香、肉豆蔻、广枣、石灰华、乳香、木香、诃子（煨）、木棉花	清心热，养心，安神，开窍
沉香、广枣、檀香、紫檀香、红花、肉豆蔻、天竺黄、北沙参	清心肺，理气，镇静安神
熟地黄、地黄、白芍、当归、川芎、人参、白术、茯苓、甘草、益母草、黄芩、牛膝、橘红、沉香、木香、砂仁、琥珀	益气养血调经
瞿麦、车前子（炒）、萹蓄、大黄、滑石、川木通、栀子、甘草、灯心草	清热，利尿，通淋
党参、炒白术、茯苓、甘草、当归、白芍、川芎、熟地黄	补气益血
党参、茯苓、麸炒白术、熟地黄、白芍、当归、川芎、甘草	补气益血
益母草、党参、麸炒白术、茯苓、甘草、当归、酒白芍、川芎、熟地黄	益气养血，活血调经
益母草、党参、炒白术、茯苓、甘草、当归、酒白芍、川芎、熟地黄	益气养血，活血调经
党参、炒白术、茯苓、炙甘草、当归、炒白芍、川芎、熟地黄	补气益血
滑石粉、甘草	清暑利湿
广藿香、紫苏叶、香薷、木香、檀香、姜厚朴、枳壳（炒）、陈皮、桔梗、甘草、茯苓、木瓜、炒白扁豆、炒山楂、六神曲（炒）、炒麦芽、炒稻芽	祛暑除湿，和中消食
党参、麸炒白术、茯苓、姜半夏、陈皮、炙甘草	补脾益气，燥湿化痰
熟地黄、酒萸肉、牡丹皮、山药、茯苓、泽泻	滋阴补肾
藏木香、大黄、山柰、北寒水石（煅）、诃子、碱花	和胃健脾，消积导滞，活血止痛
木香、栀子、石榴、闹羊花、豆蔻、荜茇	开郁行气止痛
木香、盐酸小檗碱、枳实、白芍、姜厚朴、槟榔	祛暑散寒，化滞止痢
丁香蟾酥雄黄牛黄珍珠冰片	清热，解毒，消肿，止痛
辣椒流浸膏、颠茄流浸膏、薄荷素油、水杨酸甲酯、樟脑、盐酸苯海拉明	活血散瘀，温经镇痛
地黄、麦冬、红参、大枣、阿胶、黑芝麻、桂枝、生姜、炙甘草	养血益气，复脉定悸
黄芪、党参、丹参、葛根、淫羊藿、山楂、地黄、当归、黄连、醋延胡索、灵芝、人参、炙甘草	益气活血，化瘀止痛
黄芪、女贞子、人参、莪术、灵芝、绞股蓝、炒白术、半枝莲、白花蛇舌草、茯苓、土鳖虫、鸡内金、蛇莓、白英、茵陈（绵茵陈）、徐长卿	健脾益肾，化瘀解毒
炙黄芪、党参、白芍、甘草、陈皮、香附、乌梅、山药	养胃健脾，理气和中
当归、白芍、熟地黄、茯苓、炙甘草、党参、黄芪、川芎	补气养血，调经
当归、川芎、白芍、熟地黄、钩藤、鸡血藤、夏枯草、决明子、珍珠母、延胡索、细辛	养血平肝，活血通络
熟地黄、当归、羌活、木瓜、川芎、白芍、菟丝子、天麻、制何首乌	养血祛风，益肾填精
当归、鸡血藤、何首乌（黑豆酒炙）、赤芍、续断、桑寄生、铁丝威灵仙（酒炙）、伸筋草、透骨草、油松节、盐补骨脂、党参、炒白术、陈皮、木香、赤小豆	养血荣筋，祛风通络
当归、黄芪、鹿角胶、阿胶、大枣	补气养血，益肾助脾
地黄、麦冬、玄参、川贝母、白芍、牡丹皮、薄荷、甘草	养阴润燥，清肺利咽
地黄、黄芪、当归、玄参、麦冬、石斛、川芎	养阴清热，益气生血
黄芪、党参、葛根、枸杞子、玄参、玉竹、地黄、知母、牡丹皮、川芎、虎杖、五味子	养阴益气，清热活血
夏枯草、浙贝母、海藻、白蔹、天花粉、连翘、熟大黄、玄明粉、煅蛤壳、大青盐、枳壳、桔梗、薄荷脑、地黄、当归、玄参、甘草	化痰，软坚，散结
丹参、三七、降香油	活血化瘀，理气止痛
丹参、三七、降香油	活血化瘀，理气止痛
人参、麦冬、醋五味子、丹参、赤芍、郁金、三七	益气生津，活血通脉
广枣、丹参、丁香、冰片、天竺黄	活血化瘀，通经活络，行气止痛
苏合香、冰片、乳香（制）、檀香、土木香	理气，宽胸，止痛
苏合香、冰片、醋乳香、檀香、土木香	理气，宽胸，止痛
丹参、没药（炒）、鸡血藤、血竭、醋延胡索、当归、郁金、制何首乌、炒桃仁、酒黄精、红花、葛根、乳香（炒）、冰片	活血化瘀，行气止痛
冬凌草	清热解毒，消肿散结，利咽止痛
丁公藤、桂枝、麻黄、羌活、当归、川芎、白芷、补骨脂、乳香、猪牙皂、陈皮、苍术、厚朴、香附、木香、枳壳、白术、山药、黄精、菟丝子、小茴香、苦杏仁、泽泻、五灵脂、蚕沙、牡丹皮、没药	祛风除湿，活血止痛
冰片、硼砂（煅）、朱砂、玄明粉	清热解毒，消肿止痛
大黄、姜黄、硫黄、黄芩、甘草、冰片、薄荷脑	清热燥湿，活血祛风，止痒消炎
大青叶、牛蒡子、紫荆皮、荆芥、马勃、[、桔梗	辛凉解表，疏风清热
木通、盐车前子、黄芩、茯苓、猪苓、黄柏、大黄、萹蓄、瞿麦、知母、泽泻、栀子、甘草、滑石	清热泻火，利尿通淋
板蓝根、金银花、连翘、薄荷、牛蒡子（炒）、山楂（焦）、桔梗、大青叶、僵蚕、玄参、黄芩、地黄、天花粉、大黄、浙贝母、麦冬	清肺利咽，解毒退热
板蓝根、茵陈、郁金、五味子、甘草、当归、黄芪、刺五加浸膏	疏肝解郁，清热解毒，益气养血
金钱草、茵陈、黄芩、木香、郁金、大黄、槟榔、麸炒枳实、芒硝、姜厚朴	清热利湿，利胆排石
金钱草、茵陈、黄芩、木香、郁金、大黄、槟榔、麸炒枳实、芒硝、姜厚朴	清热利湿，利胆排石
大黄、金银花、金钱草、木香、知母、大青叶、柴胡、白芍、黄芩、芒硝、茵陈	舒肝止痛，清热利湿
丹参、川芎、粉葛、地龙、赤芍、红花、郁金、制何首乌、泽泻、枸杞子、炒酸枣仁、远志、九节菖蒲、牛膝、甘草	活血祛瘀，行气化痰，通络止痛
炒莱菔子、槟榔、酒大黄、姜厚朴、山楂、六神曲（炒）、砂仁、桔梗、醋青皮、麸炒枳壳、麸炒麦芽、木香、陈皮、麸炒苍术、广藿香、草果仁、甘草	宽胸利膈，消积止痛
黄芩、苍耳子、辛夷、薄荷、白芷、细辛、蒲公英	清热解毒，祛风开窍
刺五加浸膏	益气健脾，补肾安神
刺五加浸膏、五味子流浸膏	健脾补肾，宁心安神
炒桃仁、没药（炒）、丹参、赤芍、红花、泽兰、炒王不留行、皂角刺、败酱草、蒲公英、川楝子、白芷、石韦、枸杞子	活血化瘀，清热利湿
熟地黄、薏苡仁、冬瓜子、山茱萸、山药、牡丹皮、苍术、桃仁、泽泻、茯苓、桂枝、附子（制）、韭菜子、淫羊藿、甘草	扶正固本，益肾利尿
广东王不留行、黄芪、车前子、关黄柏、两头尖、蒲公英、泽兰、琥珀、八角茴香油、	清利湿浊，化瘀散结
功劳木、黄柏、黄芩、栀子	清热解毒
当归、桃仁、益母草、赤芍、艾叶、川芎、炙甘草、炮姜、荆芥、阿胶	活血化瘀，温经止痛
广藿香、紫苏叶、白芷、炒白术、陈皮、半夏（制）、姜厚朴、茯苓、桔梗、甘草、大腹皮、生姜、大枣	解表化湿，理气和中
柴胡、当归、白芍、白术（麸炒）、茯苓、甘草、牡丹皮、栀子（姜炙）、薄荷	舒肝清热，健脾养血
柴胡、当归、白芍、白术（麸炒）、茯苓、牡丹皮、栀子（姜炙）、薄荷、甘草、生姜	舒肝清热，健脾养血
木香、姜黄连、黄芩、黄柏（酒炙）、白芍、当归、姜厚朴、麸炒枳壳、槟榔、醋延胡索、制吴茱萸、炙甘草	清热祛湿，化滞止痛
次没食子酸铋、苦参、黄柏、洋金花、冰片	清热燥湿，收涩止血
柴胡、薄荷、黄芩、当归、红花、赤芍	疏风清热，活血化瘀
益母草、红花、花椒（炭）、烫水蛭、当归、苏木、醋三棱、两头尖、川芎、降香、醋香附、人参、高良姜、姜黄、没药（醋炙）、炒苦杏仁、大黄、人工麝香、盐小茴香、桃仁、五灵脂（醋炙）、虻虫、鳖甲胶、丁香、醋延胡索、白芍、蒲黄炭、乳香（醋炙）、干漆（煅）、制吴茱萸、阿魏、肉桂、醋艾炭、熟地黄、紫苏子	消癥化瘀
茯苓（去皮）、海螵蛸、炒鸡内金、醋三棱、醋莪术、红花、槟榔、雷丸、鹤虱、使君子仁	健脾导滞，化积除疳
黄芪、刺五加浸膏	益气健脾，宁心安神
北豆根提取物	清热解毒，止咳，祛痰
生白附子、天南星（制）、半夏（制）、猪牙皂、僵蚕（炒）、乌梢蛇（制）、蜈蚣、全蝎、白矶、雄黄、朱砂	祛风化痰，定痫止搐
人参（去芦）、黄芪、天麻、当归、熟地黄、泽泻、决明子、菟丝子、鹿角、枸杞子、细辛	补脾益气
人参（去芦）、黄芪、当归、天麻、熟地黄、泽泻、决明子、鹿角、菟丝子、细辛、枸杞子	补脾益气，用于脾气虚所致的体弱，四肢无力
藏木香、小叶莲、干姜、沙棘膏、诃子肉、蛇肉（制）、大黄、方海、北寒水石（制）、硇砂、碱花（制）	化瘀行血，通经催产
